Team,Year,Sagarin,Zsagarin,FrNbrRecruits,Fr5star,Fr4star,Fr3star,Fravg,Frpoints,Sonbrrecruits,So5star,So4star,So3star,Soavg,Sopoints,Jrnbrrecruits,Jr5star,Jr4star,Jr3star,Jravg,Jrpoints,Srnbrrecruits,Sr5star,Sr4star,Sr3star,Sravg,Srpoints,Rssrnbrrecruits,Rssr5star,Rssr4star,Rssr3star,Rssravg,Rssrpoints,conference,lysagarin,z_lysagarin,tyasagarin,z_tyasagarin,retoff,retdef,qbret,bowl,bowlwin,coachexp_school,coachexp_total,lindys,BigTen,SEC,BigTwelve,ACC,PacTen,Bigeast,Ind
Oklahoma State,2007,79.56,0.236252088,23,0,4,16,3.04,1143,29,0,6,18,3.03,1330,21,1,0,13,2.76,628,19,0,3,7,2.68,713,31,0,4,17,2.81,1677,bigtwelve,76.37,-0.082762727,66.16,-1.206923189,7,7,1,1,1,2,2,42,0,0,1,0,0,0,0
Ole Miss,2007,67.64,-1.137975215,22,0,6,12,3.09,1203,30,2,7,15,3.17,1718,27,1,2,8,2.56,887,24,0,3,11,2.71,838,23,0,2,14,2.78,1287,SEC,68.05,-0.932709779,62.24,-1.612180963,9,6,1,0,0,2,2,77,0,1,0,0,0,0,0
Oregon,2007,88.19,1.231183432,29,0,12,12,3.24,1760,21,0,1,12,2.67,515,23,1,2,13,2.87,1049,30,1,7,13,3,1649,24,0,5,13,2.96,1450,pacten,78.27,0.111335758,84.39,0.677732224,7,7,1,1,0,12,17,47,0,0,0,0,1,0,0
Oregon State,2007,83.18,0.65359293,35,0,2,16,2.51,690,30,0,2,14,2.6,650,20,0,2,8,2.6,493,28,0,2,15,2.68,879,23,0,0,13,2.57,1075,pacten,83.32,0.627229101,72.04,-0.599036528,7,8,0,1,1,6,6,32,0,0,0,0,1,0,0
Penn State,2007,80.6,0.356151114,21,0,8,8,3.14,1305,24,1,14,8,3.63,2241,19,2,2,10,3.05,1152,25,2,2,15,3,1430,11,0,4,6,3.27,744,bigten,84.38,0.735515624,93.47,1.616441558,7,6,1,1,1,41,41,35,1,0,0,0,0,0,0
Pittsburgh,2007,70.43,-0.816323019,24,0,6,13,3.04,1265,26,0,7,14,3.08,1412,24,0,1,11,2.54,694,24,0,1,6,2.25,433,26,0,0,19,2.73,1315,Bigeast,75.8,-0.140992273,72,-0.603171811,8,6,0,0,0,2,2,60,0,0,0,0,0,1,0
Purdue,2007,73.76,-0.432415559,19,0,1,11,2.68,371,26,0,1,10,2.38,490,21,1,3,12,3,967,27,0,3,13,2.7,962,26,0,3,12,2.69,1361,bigten,70.36,-0.696726884,77.35,-0.050077656,9,9,1,1,0,10,16,51,1,0,0,0,0,0,0
Rutgers,2007,77.24,-0.031214971,23,0,3,15,2.83,950,25,0,2,9,2.52,573,22,0,1,5,2.32,191,21,0,1,5,2.33,392,24,0,1,13,2.63,1143,Bigeast,88.17,1.122691024,72.6,-0.54114256,7,6,1,1,1,6,6,16,0,0,0,0,0,1,0
South Carolina,2007,79.23,0.198207205,31,1,14,13,3.42,2190,24,0,6,14,3.08,1236,28,0,6,15,2.96,1310,28,0,3,11,2.61,799,29,1,4,18,3,1831,SEC,82.49,0.54243871,74.92,-0.301296123,6,9,0,1,1,2,19,40,0,1,0,0,0,0,0
South Florida,2007,82.45,0.569433036,27,1,0,10,2.48,381,28,0,1,8,2.36,315,21,0,1,7,2.43,417,24,0,2,7,2.46,529,28,0,0,5,2.18,985,Bigeast,79.33,0.219622281,72.48,-0.55354841,8,8,1,1,1,10,10,26,0,0,0,0,0,1,0
Southern Cal,2007,90.94,1.548224127,18,6,10,2,4.22,2761,25,5,14,6,3.96,3018,20,4,11,5,3.95,2631,20,8,7,3,4.05,2908,28,2,10,14,3.43,2327,pacten,95.57,1.878653546,98.93,2.180907743,6,10,1,1,1,6,6,1,0,0,0,0,1,0,0
Stanford,2007,69.05,-0.975419804,19,0,1,0,2.63,480,18,0,0,10,2.44,409,16,0,4,5,2.81,640,12,0,2,3,2.58,332,25,0,5,10,2.8,1482,pacten,61.42,-1.610011336,76.41,-0.147256816,7,8,0,0,0,0,3,79,0,0,0,0,1,0,0
Syracuse,2007,59.12,-2.120224931,27,0,1,13,2.56,679,23,0,2,6,2.43,451,20,0,1,6,2.4,290,32,0,0,9,2.22,361,23,0,1,9,2.48,1045,Bigeast,69,-0.835660536,58.55,-1.993660857,6,4,0,0,0,2,2,89,0,0,0,0,0,1,0
Tennessee,2007,84.31,0.783867834,32,5,11,15,3.63,2726,22,1,4,13,3.09,1245,27,1,16,9,3.63,2403,24,2,8,8,3.25,1748,22,1,7,11,3.27,1634,SEC,85.41,0.840737434,74.49,-0.345750419,7,5,1,1,0,15,15,7,0,1,0,0,0,0,0
Texas,2007,85.14,0.87955648,24,2,16,5,3.79,2562,25,2,11,12,3.6,2283,15,0,9,6,3.6,1409,20,1,9,9,3.5,1864,18,1,11,6,3.72,1677,bigtwelve,84.02,0.698739069,106.93,3.007964425,6,6,1,1,1,9,23,5,0,0,1,0,0,0,0
Texas A&M,2007,76.41,-0.126903617,19,0,4,11,2.89,795,23,0,4,16,2.96,1165,26,1,9,11,3.23,1839,28,0,8,10,2.93,1501,24,1,5,17,3.25,1778,bigtwelve,76.98,-0.020446898,76.69,-0.118309832,8,6,1,1,0,4,24,18,0,0,1,0,0,0,0
Texas Tech,2007,81.46,0.455298386,26,0,1,17,2.73,469,34,0,4,22,2.88,1194,21,0,1,12,2.67,719,26,1,4,7,2.69,807,25,0,2,11,2.6,1150,bigtwelve,78,0.083753342,85.73,0.816264219,4,5,1,1,1,7,7,43,0,0,1,0,0,0,0
UCLA,2007,78.74,0.141716317,11,0,6,4,3.27,848,22,0,7,13,3.23,1544,21,1,3,12,3,1107,26,0,1,14,2.62,802,19,0,6,9,3.11,1299,pacten,78.52,0.136875032,85.93,0.836940636,10,10,1,1,0,4,4,22,0,0,0,0,1,0,0
Vanderbilt,2007,74.19,-0.382841923,14,0,1,5,2.5,270,26,0,0,7,2.27,312,24,0,0,2,2.08,70,19,0,0,2,2.11,179,22,0,1,3,2.23,820,SEC,69.9,-0.743719149,69.74,-0.836815324,9,7,1,0,0,5,13,78,0,1,0,0,0,0,0
Virginia,2007,76.93,-0.066954104,24,0,7,11,3.04,1267,24,0,3,10,2.67,757,22,1,5,12,3.14,1417,19,0,3,8,2.74,691,22,1,7,11,3.27,1627,ACC,68.78,-0.858135098,79.11,0.131874814,8,10,1,0,0,6,12,37,0,0,0,1,0,0,0
Virginia Tech,2007,87.84,1.190832798,26,1,2,14,2.73,1160,22,0,5,12,3,1122,25,1,5,14,3.08,1581,19,0,3,8,2.74,641,24,0,6,10,2.92,1445,ACC,82.83,0.577172123,93.07,1.575088724,8,8,1,1,0,20,26,8,0,0,0,1,0,0,0
Wake Forest,2007,79.5,0.229334837,20,0,0,6,2.3,90,15,0,0,6,2.4,152,19,0,0,5,2.26,221,16,0,0,3,2.19,63,23,0,0,12,2.52,1010,ACC,81.84,0.476036596,71.04,-0.702418613,8,5,1,1,0,6,11,20,0,0,0,1,0,0,0
Washington,2007,73.81,-0.426651183,27,0,3,16,2.81,982,22,0,4,10,2.82,891,13,0,2,3,2.54,216,23,1,3,9,2.78,1011,27,0,2,22,2.96,1611,pacten,74.25,-0.299335774,66.37,-1.185212951,6,6,0,0,0,2,12,66,0,0,0,0,1,0,0
Washington St.,2007,72.29,-0.601888222,27,0,1,14,2.44,280,23,0,1,11,2.57,569,20,0,0,10,2.5,382,28,0,4,9,2.61,893,16,0,1,7,2.56,715,pacten,77.59,0.041868932,72.96,-0.50392501,7,5,1,0,0,4,4,71,0,0,0,0,1,0,0
West Virginia,2007,92.29,1.703862286,28,1,4,16,2.96,1367,16,0,0,10,2.63,431,33,1,0,13,2.48,867,22,0,1,7,2.41,450,25,0,0,13,2.52,1120,Bigeast,88.64,1.17070486,88.69,1.122275191,7,7,1,1,1,7,14,4,0,0,0,0,0,1,0
Wisconsin,2007,77.83,0.036804669,18,1,3,10,3.06,1056,23,0,3,10,2.7,672,23,0,2,13,2.74,767,23,0,1,9,2.48,693,22,1,3,10,2.82,1278,bigten,88.73,1.179898998,84.75,0.714949775,9,7,0,1,1,1,1,6,1,0,0,0,0,0,0
Alabama,2008,89.48,1.250086738,32,3,19,8,3.72,2836,25,0,10,12,3.28,1789,23,2,10,11,3.61,2127,32,0,6,21,3.03,1424,27,0,4,16,2.89,1366,SEC,79.26,0.20166583,73.1,-0.416816436,9,6,1,1,1,1,12,20,0,1,0,0,0,0,0
Arizona,2008,80.5,0.390691981,23,0,5,12,2.96,974,18,0,4,9,2.72,792,25,1,6,17,3.28,1530,24,0,7,14,3.17,1395,25,0,1,9,2.44,514,pacten,76.4,-0.128056492,75.92,-0.128733421,10,3,1,0,0,4,4,60,0,0,0,0,1,0,0
Arizona State,2008,71.84,-0.438078464,27,0,6,19,3.15,1328,24,0,2,13,2.63,783,24,0,5,15,3.04,1163,22,0,1,16,2.82,774,22,0,1,12,2.64,837,pacten,84.35,0.788479335,76.73,-0.045986172,7,6,1,1,0,1,19,14,0,0,0,0,1,0,0
Arkansas,2008,71.22,-0.497413068,25,0,6,10,2.88,1015,27,0,4,17,2.93,1083,26,1,4,14,2.96,1172,24,1,3,15,3,1293,30,0,3,14,2.67,938,SEC,81.39,0.44722826,85.64,0.864233567,5,5,1,1,0,0,4,54,0,1,0,0,0,0,0
Auburn,2008,71.69,-0.45243361,29,2,4,16,3.03,1335,30,0,13,15,3.37,2013,25,1,14,7,3.52,2148,21,1,7,10,3.19,1596,27,0,4,10,2.67,954,SEC,84.42,0.796549461,88.42,1.148230298,8,7,0,1,1,9,13,13,0,1,0,0,0,0,0
Baylor,2008,71.06,-0.512725224,22,0,1,8,2.45,453,29,0,1,12,2.34,274,29,0,0,10,2.34,226,20,0,1,5,2.35,264,20,0,0,1,2.05,65,bigtwelve,58.75,-2.162881316,65.21,-1.222835936,8,6,0,0,0,0,5,83,0,0,1,0,0,0,0
Boston College,2008,78.94,0.24139846,29,0,3,18,2.83,1081,18,0,2,11,2.83,756,20,0,2,13,2.85,794,16,0,2,9,2.81,434,20,1,1,11,2.8,921,ACC,81.61,0.472591515,82.4,0.533244571,6,4,0,1,1,1,1,35,0,0,0,1,0,0,0
California,2008,83.58,0.685450984,21,0,5,12,3.05,1070,26,0,5,18,3,1378,20,0,9,8,3.3,1512,24,1,9,12,3.38,1816,18,0,6,6,3,935,pacten,79.33,0.209735957,89.9,1.299422802,5,7,1,1,1,6,6,32,0,0,0,0,1,0,0
Cincinnati,2008,77.89,0.140912436,24,0,0,6,2.25,230,23,0,0,6,2.26,90,20,0,0,1,1.95,62,24,0,0,1,2.04,65,16,0,0,1,2.06,97,Bigeast,82.81,0.610936546,76.23,-0.097064721,7,6,0,1,1,1,17,62,0,0,0,0,0,1,0
Clemson,2008,78.87,0.234699391,26,1,13,8,3.42,2113,23,0,8,12,3.22,1555,20,2,6,10,3.4,1741,25,0,6,15,3.08,1431,24,0,1,7,2.38,364,ACC,81.93,0.509483523,80.18,0.306455814,6,8,1,1,0,9,11,10,0,0,0,1,0,0,0
Colorado,2008,69.36,-0.675416882,21,1,7,9,3.24,1510,28,1,2,14,2.68,1081,23,0,0,14,2.61,520,25,0,1,15,2.68,613,19,0,1,8,2.53,431,bigtwelve,73.81,-0.426651183,62.93,-1.455754118,6,7,1,1,0,2,12,40,0,0,1,0,0,0,0
Connecticut,2008,76.4,-0.001682017,22,0,0,3,2.14,194,29,0,1,5,2.24,272,23,0,0,4,2.17,80,26,0,0,7,2.27,95,28,0,0,1,2.04,65,Bigeast,77.05,-0.053119601,68.26,-0.911256788,9,8,1,1,0,9,9,50,0,0,0,0,0,1,0
Duke,2008,72.35,-0.389270966,17,0,0,7,2.41,241,21,0,0,4,2.19,138,26,0,1,8,2.38,400,23,0,1,6,2.26,496,24,0,0,2,2.08,131,ACC,59.7,-2.053358166,49.76,-2.801163093,7,9,1,0,0,0,6,93,0,0,0,1,0,0,0
Florida,2008,98.74,2.136277767,22,4,12,4,3.82,2600,27,4,16,7,3.89,2959,27,4,17,5,3.89,2901,18,0,8,9,3.39,1467,23,1,11,10,3.52,2065,SEC,87.59,1.162010917,96.18,1.940969375,9,7,1,1,0,3,7,6,0,1,0,0,0,0,0
Florida State,2008,83.18,0.647170594,30,2,13,8,3.33,2251,20,0,7,10,3.2,1394,31,2,18,10,3.68,2703,22,3,13,5,3.82,2582,27,1,16,8,3.59,2377,ACC,77.01,-0.057731102,78.73,0.158328023,7,7,1,1,0,32,42,25,0,0,0,1,0,0,0
Georgia,2008,84.81,0.803163184,24,2,13,8,3.67,2321,23,0,12,10,3.48,1895,28,2,14,12,3.64,2436,19,0,11,8,3.58,1814,21,1,11,8,3.57,2074,SEC,89.83,1.420254974,84.4,0.737558766,7,9,1,1,1,7,7,1,0,1,0,0,0,0,0
Georgia Tech,2008,77.13,0.068179695,20,0,1,11,2.65,581,20,0,8,10,3.3,1453,16,0,1,9,2.69,372,19,0,0,7,2.37,255,23,0,1,3,2.22,347,ACC,73.07,-0.511963952,79.29,0.215535997,4,4,0,1,0,0,11,58,0,0,0,1,0,0,0
Illinois,2008,70.07,-0.60746919,28,0,6,16,3,1293,23,2,5,11,3,1448,27,0,6,12,2.89,1148,21,0,3,6,2.57,385,24,0,1,5,2.29,406,bigten,79.27,0.202818706,60.66,-1.68765073,7,5,1,1,0,3,6,17,1,0,0,0,0,0,0
Indiana,2008,57.94,-1.768322018,20,0,0,5,2.15,152,20,0,0,5,2.15,82,20,0,0,5,2.25,85,24,0,0,3,2.13,143,25,0,0,6,2.24,266,bigten,68.7,-1.015770438,64.8,-1.264720346,6,7,1,1,0,1,15,65,1,0,0,0,0,0,0
Iowa,2008,81.79,0.514146239,24,0,0,13,2.54,428,22,0,5,11,2.95,1167,20,0,2,10,2.7,703,23,1,7,11,3.22,1745,20,1,1,7,2.6,701,bigten,67.7,-1.131057963,73.85,-0.340198613,8,5,1,0,0,9,12,45,1,0,0,0,0,0,0
Iowa State,2008,60.47,-1.526198551,24,0,1,6,2.33,281,25,0,1,0,2.44,343,30,0,0,15,2.5,285,25,0,2,9,2.52,277,28,0,1,10,2.43,626,bigtwelve,63.88,-1.57145631,63.59,-1.388330434,7,7,0,0,0,1,1,80,0,0,1,0,0,0,0
Kansas,2008,78.8,0.228000323,20,0,2,18,3.1,899,23,0,1,13,2.57,491,25,0,1,16,2.72,762,26,0,1,15,2.65,435,19,0,0,8,2.42,404,bigtwelve,92.78,1.760353174,69.42,-0.792754555,6,9,1,1,1,6,6,15,0,0,1,0,0,0,0
Kansas State,2008,68.69,-0.739536535,32,0,4,22,2.94,1194,33,0,3,16,2.67,873,31,0,2,12,2.52,675,21,0,3,13,2.9,740,26,0,5,11,2.81,1162,bigtwelve,74.59,-0.336726913,70.77,-0.654842474,7,5,1,0,0,2,2,61,0,0,1,0,0,0,0
Kentucky,2008,74.41,-0.192126958,20,0,1,8,2.5,315,29,0,1,9,2.31,452,30,0,3,10,2.53,829,26,0,0,4,2.15,211,27,0,1,10,2.44,490,SEC,83.02,0.635146926,80.25,0.313606811,5,8,0,1,1,5,23,63,0,1,0,0,0,0,0
